ISIN,Risk_Stripe
ISIN13508,Stripe0
ISIN13513,Stripe6
ISIN13514,Stripe6
ISIN13515,Stripe6
ISIN13520,Stripe14
ISIN13521,Stripe14
ISIN13522,Stripe14
ISIN13523,Stripe14
ISIN13524,Stripe2
ISIN13526,Stripe3
ISIN13527,Stripe3
ISIN13528,Stripe3
ISIN13529,Stripe3
ISIN13530,Stripe3
ISIN13531,Stripe3
ISIN13532,Stripe3
ISIN13533,Stripe3
ISIN13534,Stripe3
ISIN13535,Stripe3
ISIN13536,Stripe3
ISIN13537,Stripe3
ISIN13538,Stripe3
ISIN13539,Stripe3
ISIN13540,Stripe3
ISIN13541,Stripe0
ISIN13542,Stripe0
ISIN13544,Stripe6
ISIN13545,Stripe0
ISIN13546,Stripe0
ISIN13547,Stripe0
ISIN13548,Stripe0
ISIN13549,Stripe0
ISIN13550,Stripe0
ISIN13551,Stripe0
ISIN13552,Stripe0
ISIN13553,Stripe0
ISIN13554,Stripe0
ISIN13555,Stripe0
ISIN13556,Stripe0
ISIN13557,Stripe0
ISIN13558,Stripe0
ISIN13559,Stripe0
ISIN13560,Stripe4
ISIN13561,Stripe0
ISIN13562,Stripe6
ISIN13563,Stripe6
ISIN13564,Stripe5
ISIN13565,Stripe5
ISIN13566,Stripe5
ISIN13567,Stripe5
ISIN13568,Stripe5
ISIN13569,Stripe5
ISIN13570,Stripe0
ISIN13571,Stripe0
ISIN13572,Stripe5
ISIN13573,Stripe5
ISIN13574,Stripe5
ISIN13575,Stripe5
ISIN13576,Stripe5
ISIN13577,Stripe8
ISIN13578,Stripe8
ISIN13579,Stripe0
ISIN13580,Stripe0
ISIN13581,Stripe1
ISIN13582,Stripe0
ISIN13583,Stripe12
ISIN13584,Stripe3
ISIN13585,Stripe3
ISIN13586,Stripe8
ISIN13587,Stripe1
ISIN13588,Stripe10
ISIN13589,Stripe0
ISIN13590,Stripe0
ISIN13591,Stripe0
ISIN13592,Stripe0
ISIN13593,Stripe0
ISIN13594,Stripe0
ISIN13595,Stripe0
ISIN13596,Stripe0
ISIN13597,Stripe0
ISIN13598,Stripe0
ISIN13599,Stripe0
ISIN13600,Stripe0
ISIN13601,Stripe0
ISIN13602,Stripe0
ISIN13603,Stripe6
ISIN13604,Stripe6
ISIN13605,Stripe0
ISIN13606,Stripe0
ISIN13607,Stripe0
ISIN13608,Stripe0
ISIN13609,Stripe0
ISIN13610,Stripe0
ISIN13611,Stripe0
ISIN13612,Stripe0
ISIN13613,Stripe0
ISIN13614,Stripe0
ISIN13615,Stripe0
ISIN13616,Stripe0
ISIN13617,Stripe0
ISIN13618,Stripe0
ISIN13619,Stripe0
ISIN13620,Stripe0
ISIN13621,Stripe0
ISIN13622,Stripe0
ISIN13623,Stripe0
ISIN13624,Stripe0
ISIN13625,Stripe0
ISIN13627,Stripe0
ISIN13639,Stripe0
ISIN13642,Stripe6
ISIN13643,Stripe6
ISIN13644,Stripe4
ISIN13645,Stripe9
ISIN13646,Stripe9
ISIN13647,Stripe9
ISIN13649,Stripe3
ISIN13650,Stripe3
ISIN13651,Stripe3
ISIN13652,Stripe3
ISIN13655,Stripe3
ISIN13656,Stripe3
ISIN13657,Stripe3
ISIN13658,Stripe3
ISIN13659,Stripe3
ISIN13660,Stripe3
ISIN13663,Stripe3
ISIN13664,Stripe3
ISIN13665,Stripe3
ISIN13666,Stripe3
ISIN13667,Stripe3
ISIN13668,Stripe3
ISIN13669,Stripe3
ISIN13670,Stripe3
ISIN13671,Stripe3
ISIN13672,Stripe0
ISIN13673,Stripe0
ISIN13674,Stripe0
ISIN13675,Stripe0
ISIN13676,Stripe0
ISIN13677,Stripe0
ISIN13678,Stripe0
ISIN13679,Stripe2
ISIN13680,Stripe2
ISIN13681,Stripe2
ISIN13682,Stripe2
ISIN13683,Stripe2
ISIN13684,Stripe2
ISIN13685,Stripe2
ISIN13686,Stripe2
ISIN13687,Stripe2
ISIN13688,Stripe2
ISIN13689,Stripe2
ISIN13690,Stripe2
ISIN13691,Stripe2
ISIN13692,Stripe2
ISIN13693,Stripe2
ISIN13694,Stripe2
ISIN13695,Stripe2
ISIN13696,Stripe2
ISIN13697,Stripe2
ISIN13698,Stripe2
ISIN13699,Stripe2
ISIN13700,Stripe2
ISIN13701,Stripe4
ISIN13702,Stripe4
ISIN13703,Stripe4
ISIN13704,Stripe4
ISIN13705,Stripe4
ISIN13706,Stripe4
ISIN13707,Stripe0
ISIN13708,Stripe9
ISIN13709,Stripe0
ISIN13710,Stripe0
ISIN13713,Stripe0
ISIN13714,Stripe0
ISIN13715,Stripe5
ISIN13716,Stripe5
ISIN13717,Stripe5
ISIN13718,Stripe5
ISIN13721,Stripe0
ISIN13722,Stripe10
ISIN13723,Stripe5
ISIN13725,Stripe0
ISIN13726,Stripe4
ISIN13727,Stripe4
ISIN13728,Stripe0
ISIN13731,Stripe2
ISIN13732,Stripe0
